symbol,status,market_cap,price,days_data
ADANIENT,OK,2685806051328,2077.699951171875,252
ADANIGREEN,OK,1456597893120,884.2999877929688,252
ADANIPORTS,OK,3220934754304,1398.0,252
ADANIPOWER,OK,2748261072896,142.5,252
AMBUJACEM,OK,1342818091008,543.25,252
APOLLOHOSP,OK,974500528128,6777.5,252
ASHOKLEY,OK,1153918697472,196.4499969482422,252
AUROPHARMA,OK,666179403776,1147.0,250
AXISBANK,OK,3997540024320,1287.300048828125,252
BAJAJ-AUTO,OK,2632094842880,9425.5,252
BAJAJFINSV,OK,3167517671424,1982.800048828125,252
BAJFINANCE,OK,5877865644032,945.5499877929688,252
BANKBARODA,OK,1565371400192,302.70001220703125,252
BRITANNIA,OK,1421965918208,5903.5,251
CANBK,OK,1406858035200,155.10000610351562,252
CIPLA,OK,1112786337792,1377.5999755859375,252
COLPAL,OK,588005703680,2161.89990234375,252
DABUR,OK,942716289024,531.5,252
DIVISLAB,OK,1613650722816,6078.5,252
DMART,OK,2411746820096,3706.199951171875,252
EICHERMOT,OK,1924483383296,7016.0,252
FEDERALBNK,OK,690055217152,280.6000061035156,252
GODREJCP,OK,1272302403584,1243.4000244140625,252
HDFCBANK,OK,14125078937600,918.0,252
HDFCLIFE,OK,1547054874624,716.7999877929688,252
HEROMOTOCO,OK,1085442752512,5425.0,252
HINDALCO,OK,2152589033472,962.75,252
ICICIBANK,OK,9574641827840,1338.699951171875,252
ICICIPRULI,OK,939367596032,648.8499755859375,252
INDIGO,OK,1862016040960,4815.0,252
INFY,OK,6753471168512,1669.300048828125,252
ITC,OK,4081396744192,325.75,252
JINDALSTEL,OK,1117710712832,1098.5,252
JSWSTEEL,OK,2899921338368,1187.0999755859375,252
LT,OK,5191442628608,3774.0,252
LTIM,OK,1765885083648,5957.0,252
LUPIN,OK,986299826176,2156.60009765625,252
MARICO,OK,967762182144,747.1500244140625,252
MARUTI,OK,4954669973504,15759.0,252
NESTLEIND,OK,2510086733824,1302.199951171875,252
NTPC,OK,3335168720896,343.95001220703125,252
PNB,OK,1424895770624,123.95999908447266,252
POWERGRID,OK,2382349729792,256.1499938964844,252
RELIANCE,OK,18975232622592,1402.199951171875,252
SBILIFE,OK,1998138376192,1992.5,252
SBIN,OK,9657533857792,1046.25,252
SHREECEM,OK,992040189952,27495.0,250
SUNPHARMA,OK,3917393952768,1632.699951171875,252
TATASTEEL,OK,2382372536320,191.02000427246094,252
TCS,OK,11500090556416,3178.5,252
TECHM,OK,1504388579328,1698.9000244140625,252
ULTRACEMCO,OK,3668191215616,12471.0,252
VEDL,OK,2724385783808,697.0999755859375,252
WIPRO,OK,2543500918784,242.8000030517578,252
YESBANK,OK,679652294656,21.649999618530273,252
